"Id","Sentiment","Text"
1,"neutral","barusan liat tulisan di belakang truk rela injek kopling demi kamu bisa shopping "
2,"neutral","her itu lho miss kevin sama keven rebutan gimbot ya wis aku beli 2 ae sambil nunjuk the twins yg asik main ipad masin "
3,"neutral","iya rep gatau aku masih kelas 4 sd ehh di block "
4,"neutral","aku mohon tepatilah janjimu penantiancintaeps19"
5,"neutral","bukan beria nk kahwin sbb gatal celah kangkang tp penat bila balik kg org anggap aku ni bujang takde kerja and ser "
6,"neutral","aku ingatkan habanero paling pedas rupanya ada 10 kali ganda yg lagi pedas gila "
7,"neutral","aku tengok drama cinta bukan kristalatu conversation anak dengan bapak bapak iyeee sekarang semua perempuan n "
8,"neutral","yg aku butuh interaksi dari 95l 99l yuk yg line segitu kuy mutualan nanti ku follow tapi auto followback ok rt aja "
9,"neutral","kau dah tak streak dengan aku pun "
10,"neutral","yg selama ini nunggun video dari aku nih retweet yg mau full "
11,"neutral","tak kisah pun bf ade kawan perempuan sebab aku pun ade kawan laki tapi kalau over nak ngadu nak cite itu ini send ga "
12,"neutral","high "
13,"neutral","nanti malam ada undangan opening di hungerbelt spazio temani aku laaaahhh siiisssss "
14,"neutral","aku tambah lagi ia"
15,"neutral","sebenarnya ramai sifu2 property approach aku utk join kelas investment etcemua cerita beli rumah murah dan sewakan "
16,"neutral","lecturer aku suruh tampal note kat tempat yang aku selalu tengok takkan aku nak tampal kat muka crush pulak"
17,"neutral","20thn aku pengen nikah umur 23 sm orang yang gini gini gini 23thn blm ada yg nglamar 24thn si "
18,"neutral","terdengar perbualan budak sekolah aku nk amik a level aku nk amik asasi asasi lagi ok dari matrik kan aa "
19,"neutral","cara outin diri sendiri gimana sih yang bisa outin aku aku bayar deh g "
20,"neutral","mana gampaang aku nanya dulu tauu "
21,"neutral","makan tido makan tido hari ni aku mereput je la kat rumah hadap diorang ni haih "
22,"neutral","threado as promised aku nk citer pengalaman aku ambik teh kurus pil kurus it was 2013 2014 mcm tuince everyone was s "
23,"neutral","makanya tadi aku kaget lihat teman kabar nya udah menikah dalam hati kamu kapan taarufnya kok sampai ga tercium kabarnya "
24,"neutral","aku juga dong mbaknya link kalo jepang main "
25,"neutral","hyung kamu kanibal kan ' ' "
26,"neutral","jajanin aku kak "
27,"neutral","ini tiga aku satu aja gapunya ' "
28,"neutral","hi semuanya aku adain give away nih give away nya album bts yg love yourself answers yey cukup follow dan retwee "
29,"neutral","'aku di rumah aja' adalah anagram dari 'besok malam minggu'"
30,"neutral","jumat malam bersama 2 kawan di dalam mobil menuju sebwah apartemen diurabaya barat b gaes sorry ya aku dan a k "
31,"neutral","aku nang kampus untuk ngopi ketemu wong2 podo kabeh takok e lapo mengubah sosyeti a "
32,"neutral","kamu juga kan "
33,"neutral","x de adab betul budak ni pinjam buku aku "
34,"neutral","kenapa popular weh sorry aku blur x paham mksd hg "
35,"neutral","broimak video ini ribka tjiptaning penulis buku aku bangga jadi anak pki dia setuju pki harus tetap ada yang pasti d "
36,"neutral","mau mandi diceramahin dulu sama nyonya besar intinya sama tobat kamu abis iniiap komandan "
37,"neutral","ada penjual suruh tebuk lubang kecik ja tahan lebih 30 hari aku dh nk dekat 3 bulan x hb "
38,"neutral","kengkawan lama suka cari aku bila nak translate bahasa jawa hahah ingat lagi aku ni anak jawa "
39,"neutral","karena aku kepo 11 13 20"
40,"neutral","berarti aku bener dong jawab cowok dapet 2jt nggak nih "
41,"neutral","tls followan ama aku yukk rep rt kita temenan"
42,"neutral","antra bebanyak pondan kt malaysia ni aku rasa viviana ni y bila bercakap ada content ive never thought y komuniti ki "
43,"neutral","lepas tengok movie onetwojaga teringat pulak time intern dulu kerja dengan contractor sebagai quantityurvey juruuk "
44,"neutral","ada yang bertahan karena sayang ada juga karena terpaksa menurut kamu kapel kamu yang mana "
45,"neutral","so aku pergi klinik sebab muntah tengok carta organisasi dia buatkan aku nak tergelak apa ni wei "
46,"neutral","ya allah pengen ngakak goler2 aku sama trit iniiii "
47,"neutral","pastu kan perangai dia still babi lagi nampak sangat taknak aku kahwin biasa biasa "
48,"neutral","siang happy friday sholat jum'at nya jangan lupa ya aku habis ada kegiatan terus nanti ada latihan bareng team j s "
49,"neutral","kawan aku bagi tips dietebab masa cuti dia just makan nie utk diet and bila naik sem hari tu dia dah kurus giler ka "
50,"neutral","aku tadi nge rt wah wah wah"
51,"neutral","sebenarnya takde ciri pun bila dah sayang someone tu dia gelap pun kita suka dia putih pun kita suka dia tak hensem pu "
52,"neutral","antara ayat penipuan paling besar 1 jap tengah siap 2 otw 3 tak study pun 4 takda kredit lah 5 pakai duit ka "
53,"neutral","izinkan aku mengupload ini "
54,"neutral","kamu jangan lupa sholat dzuhurnya"
55,"neutral","life skang aku simplekan je aku tak suka aku tak layan itu je penat nk jaga hati org je pikir diri sendiri dlu "
56,"neutral","tiap salam buat suami aku exo di korea paaak "
57,"neutral","masalah pinjam lighter bang pinjam lighter jap ok light kena berdiri jap sedup satu pam kene hembus dlu sebab nak ucap "
58,"neutral","tidur tak buka kipas or aircond bcs takut the kitten sejuk nanti bangun approximately every 2 hours just sebab dia nangis l "
59,"neutral","7 00 p m itu pagi apa malam ya pagiudah pernah coba trik pancing memancing kayak gitu b "
60,"neutral","mamak ni nak try aku ke apa "
61,"neutral","tomorrow i will date with yesterday's you movie aku download sebab katanya sedih k start movie sampai ending duk fikir t "
62,"neutral","aku ngatau nih bang definisi berhasil apa nga "
63,"neutral","sama aku kapan "
64,"neutral","aku main ww deg degan mulu wkwkwk id kamu apaa "
65,"neutral","aku jual "
66,"neutral","waw beliin buat aku dong"
